FID	IID	PC1	PC2	PC3	PC4	PC5	PC6
HG02224	HG02224	-0.0295383	0.0294565	0.0997669	-0.0803415	0.0101225	0.0539574
HG02230	HG02230	-0.0283778	0.0585467	0.0464358	-0.0745332	-0.0287913	-0.04199
HG02231	HG02231	-0.0143709	0.0209801	0.012066	-0.0473878	0.0116566	0.0263931
HG02232	HG02232	-0.0408185	-0.00513924	0.00377339	0.0455589	-0.076027	0.028022
HG02233	HG02233	-0.0170651	-0.0284267	0.0625256	-0.0625573	-0.024814	-0.0568421
HG02235	HG02235	-0.0311665	-0.0144093	0.00401347	-0.0679719	0.0036574	-0.0315358
HG02236	HG02236	-0.033236	-0.0078559	0.0784275	0.0416682	0.0713794	-0.00598077
HG02238	HG02238	-0.0379538	-0.038151	0.0597318	0.0730395	-0.00533605	0.0485743
HG02239	HG02239	-0.0328819	-0.0118891	-0.0561179	-0.0347726	-0.0310728	0.0537265
NA06984	NA06984	-0.00420543	0.0219295	-0.0271862	0.0187036	0.0384979	0.0333929
NA06985	NA06985	-0.0091704	0.0595798	-0.0198765	0.0289274	0.0560904	0.0771235
NA06986	NA06986	0.00695518	0.0838114	-0.0175459	-0.0328114	-0.0511202	0.0136561
NA06989	NA06989	0.0195734	0.0350461	-0.0229159	-0.00813907	-0.0264806	-0.0354965
NA06994	NA06994	0.00611048	0.0249614	-0.0530854	-0.0314416	-0.00507558	-0.0341918
NA07000	NA07000	-0.0104811	0.030438	-0.0526827	0.0222989	-0.0200318	0.0124963
NA07037	NA07037	-0.00924855	0.0182329	0.0237571	-0.0308267	-0.0484259	-0.0045315
NA07048	NA07048	-0.00171941	0.00561414	-0.00900255	-0.0179927	0.0113683	-0.0409917
NA07051	NA07051	0.0056897	0.0149216	-0.0320444	0.0242576	-0.012089	0.00745709
NA07056	NA07056	-0.00381224	0.0632131	0.0580298	-0.0141157	-0.0325353	0.00856512
NA07347	NA07347	-0.0168913	8.57606e-05	-0.0942103	0.0305221	0.0100919	-0.0477678
NA07357	NA07357	-0.0102891	0.0168024	0.00498109	-0.0392679	-0.0110559	0.00293261
NA10847	NA10847	0.0286977	0.0310609	0.0445373	-0.0277699	0.00790668	-0.00707577
NA10851	NA10851	-0.0380164	-0.00499014	0.0110658	-0.0217441	0.0566008	-0.0144887
NA11829	NA11829	0.00406512	0.025772	0.0461901	-0.0294643	0.0008673	-0.039222
NA11830	NA11830	0.0113496	-0.0194757	-0.018982	-0.0813515	-0.0195379	-0.0137746
NA11831	NA11831	-0.00876373	0.055014	-0.0801665	-0.0251911	0.0877033	-0.0296386
NA11832	NA11832	-0.00755563	0.0377909	-0.0374348	0.000857041	-0.0779831	0.035043
NA11840	NA11840	-0.00193785	0.0102304	-0.0663744	-0.00722319	-0.0766724	0.0128078
NA11843	NA11843	0.00266247	0.0611737	-0.0391647	0.0330418	0.104197	-0.0272928
NA11881	NA11881	0.0119629	0.0171826	0.000495656	0.0369626	-0.0405593	-0.0544561
NA11892	NA11892	-0.0102206	-0.00879866	-0.0880116	0.0210469	-0.0863021	-0.00271451
NA11893	NA11893	-0.00525916	0.0148955	-0.0241727	-0.0240316	0.0021828	0.114914
NA11894	NA11894	0.019162	0.0524438	0.0049895	-0.0113494	-0.0284679	0.00214326
NA11918	NA11918	0.00702905	0.0479257	0.069307	-0.0438166	0.00760513	0.00389309
NA11919	NA11919	0.0182737	0.0203345	0.0424511	-0.0113725	-0.00305689	-0.0371017
NA11920	NA11920	-0.00588083	-0.00783364	0.064931	-0.030257	0.0127857	-0.0231667
NA11930	NA11930	-0.0226172	-0.016936	-0.0476538	0.039544	-0.0127043	0.0701402
NA11931	NA11931	0.00328272	0.0386413	0.0435725	0.0512816	-0.00712233	-0.0511431
NA11932	NA11932	-0.0261959	-0.00857584	0.0211304	0.084152	0.0052598	-0.0524868
NA11933	NA11933	-0.0303938	0.0706155	0.0109167	-0.0197309	0.0124408	-0.00980847
NA11992	NA11992	0.00194963	0.0483735	0.0104447	-0.0595539	0.0224736	0.0289557
NA11994	NA11994	-0.00757587	0.0341801	0.00889653	-0.0116551	0.0175874	0.0158811
NA11995	NA11995	0.0162996	0.0233551	-0.0446451	-0.0508761	-0.0684646	-0.0545473
NA12003	NA12003	-0.00376664	0.0246141	0.0254182	0.0516085	-0.0169033	-0.0018383
NA12004	NA12004	0.00152182	0.0342641	0.0118983	0.0158444	0.0776257	-0.035318
NA12005	NA12005	0.00357023	0.00393213	0.0827799	0.0100353	0.0112594	-0.0572307
NA12006	NA12006	0.000447135	0.0205369	-0.0371406	-0.0140543	0.00631839	0.0042965
NA12043	NA12043	0.0106446	0.0641005	-0.0331012	-0.053918	-0.00307097	0.0147013
NA12044	NA12044	-0.00324249	0.00637686	0.0611201	0.0863522	0.0473198	0.0175859
NA12045	NA12045	0.00242918	0.00246625	-0.0107496	-0.11526	0.0537285	-0.0147893
NA12046	NA12046	-0.00986365	0.0460187	0.0268104	0.0616549	0.0321012	0.00762672
NA12058	NA12058	0.00254139	0.00977962	-0.0554568	-0.0761025	-0.00641938	0.0490007
NA12144	NA12144	0.00764293	-0.0116312	-0.0720213	0.040637	-0.020851	0.0481816
NA12154	NA12154	0.0201183	0.0527336	-0.0168095	0.023889	0.00702805	-0.00503043
NA12155	NA12155	-0.00562117	0.0244099	0.0176171	-0.0872179	-0.00175354	-0.0418559
NA12156	NA12156	0.0224496	0.0590203	-0.0423905	0.00895456	0.0183302	0.0229909
NA12234	NA12234	0.000506888	-0.0043829	-0.0255575	0.00598733	-0.0484682	0.00264944
NA12249	NA12249	0.0176385	0.0745599	-0.0250241	0.00482917	0.0585135	0.00428924
NA12272	NA12272	-0.0253486	0.0489016	0.099226	0.0258301	-0.0377245	0.00951238
NA12273	NA12273	-0.0295521	-0.0105303	-0.0296805	-0.0103441	-0.0351639	-0.0249904
NA12275	NA12275	-0.012364	0.0112	-0.0240459	-0.0189075	-0.0208811	0.0371383
NA12282	NA12282	-0.00610527	0.0306321	0.000102108	-0.0540436	-0.0176832	0.0603461
NA12283	NA12283	0.0144073	-0.000206287	0.107972	0.0630471	0.0111926	-0.00807327
NA12286	NA12286	0.0102257	0.00382871	-0.0277695	-0.00158925	-0.0117859	0.00593759
NA12287	NA12287	-0.00382706	0.0811531	-0.0387431	-0.040689	-0.0101862	0.0540953
NA12340	NA12340	-0.00627023	0.0325891	-0.055931	-0.0430416	0.0383757	0.0680589
NA12341	NA12341	-0.0282649	0.0699384	0.00277075	-0.016876	-0.0322824	0.0641245
NA12342	NA12342	-0.00500585	0.0480716	-0.0311931	0.0666984	0.00460089	-0.0619268
NA12347	NA12347	0.00555456	0.100098	-0.00254869	0.0143216	-0.0315431	-0.0196293
NA12348	NA12348	0.00228388	0.0360704	-0.0189875	0.0604507	-0.0053072	-0.0186957
NA12383	NA12383	0.00087027	0.0178679	0.0202727	0.0736092	0.00615818	-0.0386454
NA12399	NA12399	-0.00502788	0.015446	-0.0115389	-0.0200281	0.0295414	-0.0325035
NA12400	NA12400	0.0138542	0.00288035	0.0170795	-0.0292169	0.0126663	-0.0748587
NA12413	NA12413	0.0398104	0.0296071	-0.0365613	0.00789632	0.00217099	0.0465902
NA12414	NA12414	-0.00716437	0.0388924	-0.014087	-0.0386165	0.0378542	-0.000428696
NA12489	NA12489	0.00028517	0.0367666	-0.023242	0.00015057	-0.0270163	0.0350926
NA12546	NA12546	-0.00868986	0.0650636	-0.0738677	0.049471	0.0326569	0.0262974
NA12716	NA12716	0.00295246	0.0827006	-0.0275019	-0.0832453	0.0331489	0.00777967
NA12717	NA12717	-0.00768955	0.0287612	0.0358138	0.048813	0.0265573	0.0503446
NA12718	NA12718	0.0070179	-0.0344161	0.0410137	0.050605	0.0893802	-0.0182628
NA12748	NA12748	0.00844924	0.0851142	-0.0410574	-0.0012361	0.0233058	-0.0160509
NA12749	NA12749	-0.00520792	0.033579	0.0421289	-0.0446015	-0.00968679	0.0479195
NA12750	NA12750	0.000858645	0.0261784	-0.0703499	-0.00763075	-0.0161772	0.00695412
NA12751	NA12751	0.0111177	-0.0236066	-0.0699583	0.0972583	-0.0184662	0.00965699
NA12760	NA12760	-0.000633276	0.0405875	-0.0347449	-0.0031164	0.00418721	-0.0453218
NA12761	NA12761	0.0142684	0.0657889	0.00424454	0.00628593	-0.0017119	0.0510519
NA12762	NA12762	-0.00841552	-0.0410656	0.0186462	-0.0110354	0.025277	0.0219395
NA12763	NA12763	-0.00772282	0.0267423	-0.0137262	-0.0321313	-0.0194883	-0.0572909
NA12775	NA12775	-0.00899951	0.0621197	0.0898829	0.00702312	-0.0258096	0.0179597
NA12776	NA12776	-0.00176243	-0.0346027	0.0463977	0.0175333	0.0107804	-0.0446347
NA12777	NA12777	0.00505069	0.0546151	-0.0173299	0.0842487	0.01422	0.0224022
NA12778	NA12778	0.0197425	0.0145525	-0.00654434	-0.0443376	0.0340178	-0.0735486
NA12812	NA12812	-0.00638451	0.0278484	0.0425349	-0.0405852	-0.0378941	-0.0465559
NA12813	NA12813	0.00123958	0.060389	-0.026075	-0.0104412	0.0303169	-0.0669409
NA12814	NA12814	-0.0299046	0.0438478	-0.0290935	0.0743001	-0.0262941	0.0488071
NA12815	NA12815	0.00734804	0.101665	-0.0665905	-0.0467422	-0.0448239	0.0685263
NA12827	NA12827	0.00253941	0.00307452	-0.0129808	0.00800128	0.072789	-0.0163513
NA12828	NA12828	-0.00335499	0.0700803	-0.0289125	-0.00974901	-0.0402066	0.0132154
NA12829	NA12829	-0.0308382	0.0212701	0.00842744	0.0438899	-0.00970401	-0.0408505
NA12830	NA12830	-0.0275215	0.100262	0.00249036	-0.0224436	0.0117465	-0.0070001
NA12842	NA12842	-0.00759492	0.00409063	0.00790464	0.0421302	-0.0353656	0.039164
NA12843	NA12843	0.0193502	0.00818137	0.0174864	0.0701472	0.0552952	-0.0571804
NA12872	NA12872	0.0156016	0.0614639	0.0321785	0.0353855	-0.0511525	0.103611
NA12873	NA12873	0.0066006	-0.0118057	0.00387622	0.0500292	0.0611654	-0.0206864
NA12874	NA12874	0.00983875	0.00311364	-0.0738258	0.041737	0.0752458	0.0518412
NA12878	NA12878	-0.00959193	-0.005407	-0.0465148	0.0180696	-0.0205278	0.0294587
NA12889	NA12889	-0.00969251	0.0642151	-0.00674187	-0.0339152	0.0704331	-0.0513877
NA12890	NA12890	-0.00239036	-0.00723263	-0.0597894	0.0677961	0.0427143	-0.0506422
NA20502	NA20502	-0.0632401	-0.0386118	0.00438639	-0.0253121	-0.0421802	-0.0249494
NA20503	NA20503	-0.0223544	-0.0259683	0.0073645	0.0039147	0.0142847	0.0181906
NA20504	NA20504	-0.0444583	-0.0544834	-0.00406366	0.0303747	0.0444387	0.0230087
NA20505	NA20505	-0.0397327	-0.0546042	-0.0146152	-0.0429712	-0.0742407	-0.0213112
NA20506	NA20506	-0.0484835	-0.0379593	0.0191606	-0.0297268	-0.00474292	-0.0135916
NA20507	NA20507	-0.0485268	0.00451018	-0.00867489	0.00210141	0.0375347	0.000222234
NA20508	NA20508	-0.0547242	-0.0611374	0.109129	-0.00467499	-0.0330022	0.0352132
NA20509	NA20509	-0.041789	-0.0396761	-0.0186425	-0.0145526	-0.0123601	0.0137324
NA20510	NA20510	-0.0369181	-0.0632326	-0.0924243	0.0800197	-0.0105438	-0.0577844
NA20511	NA20511	-0.0292229	-0.0468212	0.0273873	-0.0221014	0.0364499	0.0130856
NA20512	NA20512	-0.0459743	-0.0526838	-0.0527222	-0.0431046	0.0175624	-0.0207327
NA20513	NA20513	-0.0623834	-0.0244285	-0.0490176	-0.0028208	-0.011179	-0.0895097
NA20514	NA20514	-0.0552147	-0.00731523	-0.0563759	-0.0173754	0.0554215	0.000142042
NA20515	NA20515	-0.0567368	-0.00269156	-0.0463246	-0.0803491	-0.0519277	0.012298
NA20516	NA20516	-0.0522795	-0.0124938	-0.0620181	-0.0243109	-0.0139842	-0.00443163
NA20517	NA20517	-0.0513583	-0.0156876	-0.0265109	-0.0516489	0.0202854	-0.0596746
NA20518	NA20518	-0.0323409	-0.0544471	-0.00791427	-0.0686	0.0206617	-0.0281473
NA20519	NA20519	-0.0347622	-0.0185563	-0.0522583	0.0465111	-0.0546782	-0.00435342
NA20520	NA20520	-0.0516065	-0.0770202	0.00701887	-0.019138	0.00804341	0.081467
NA20521	NA20521	-0.0597341	-0.047745	-0.0485688	-0.0543149	-0.0420032	-0.0161102
NA20522	NA20522	-0.056053	-0.0810364	-0.0275549	0.0707384	0.00651121	0.00693446
NA20524	NA20524	-0.0486549	-0.0173023	0.0412242	0.0584955	0.0201903	-0.0244128
NA20525	NA20525	-0.0227466	-0.0381754	-0.0291245	-0.0175745	0.050076	0.0841712
NA20527	NA20527	-0.0325635	-0.0489879	-0.0353295	0.030102	-0.119714	0.0279321
NA20528	NA20528	-0.0596091	-0.0100708	-0.0404212	-0.00242805	-0.10417	-0.0147072
NA20529	NA20529	-0.0444993	-0.0220735	2.9905e-05	-0.00370429	-0.0452056	0.0353038
NA20530	NA20530	-0.0403363	-0.0306181	-0.0762308	-0.0274415	0.02862	-0.0239919
NA20531	NA20531	-0.0329615	-0.0373304	-0.00066783	-0.0276745	0.00456158	-0.0494371
NA20532	NA20532	-0.0423478	-0.0547317	-0.0107598	-0.0227062	0.0627936	-0.00876679
NA20533	NA20533	-0.051265	-0.0222513	-0.0303078	0.0767948	0.0268883	-0.00484465
NA20534	NA20534	-0.0392771	-0.0587197	0.0516572	-0.044514	0.0264724	-0.032888
NA20535	NA20535	-0.03744	0.0148746	-0.0310213	-0.076616	-0.0224981	0.0402277
NA20536	NA20536	-0.051731	-0.0435027	-0.0658931	-0.0387939	0.0402426	-0.0654541
NA20538	NA20538	-0.0517866	-0.0191358	-0.0304926	0.0317267	0.00935294	-0.0222923
NA20539	NA20539	-0.0369679	-0.0383905	-0.0093404	-0.0598916	0.000730442	-0.00279998
NA20540	NA20540	-0.0275883	-0.0753316	0.00348547	0.0310602	-0.0943083	0.0431453
NA20541	NA20541	-0.0688059	-0.0425564	-0.0109654	0.0229491	0.0612256	-0.0153928
NA20542	NA20542	-0.031134	0.0585829	-0.0295676	-0.0283572	-0.00798493	-0.0316926
NA20543	NA20543	-0.0419221	0.0138194	-0.0185908	-0.00872236	-0.0133624	-0.00513763
NA20544	NA20544	-0.0259101	-0.0512648	0.00739269	0.0168614	0.0128923	-0.0658022
NA20581	NA20581	-0.0262908	-0.0508803	0.0147646	0.110706	0.00758445	0.0710771
NA20582	NA20582	-0.056393	-0.018996	0.0338501	-0.0332206	-0.0451583	-0.00811158
NA20585	NA20585	-0.0345773	-0.0542997	0.045004	-0.00206145	-0.00226283	0.0285169
NA20586	NA20586	-0.0483527	-0.0714306	-0.0124704	0.0422499	0.0157989	0.0313621
NA20587	NA20587	-0.0112271	0.00661783	0.0102102	-0.0206541	0.0193843	-0.0381027
NA20588	NA20588	-0.0284795	-0.0149556	-0.0526294	-0.0206997	-0.0642348	-0.0647899
NA20589	NA20589	-0.0198644	-0.0406716	-0.025577	-0.022571	-0.0222256	-0.0506725
NA20752	NA20752	-0.0380434	-0.0277563	-0.0172517	-0.00742731	0.0356311	0.0303239
NA20753	NA20753	-0.0518824	-0.0396633	-0.0203286	-0.000191355	0.00175826	0.0298495
NA20754	NA20754	-0.0439391	-0.034934	0.0135523	0.045912	0.0299703	-0.0323044
NA20755	NA20755	-0.0535206	-0.0991045	-0.0135198	0.0359781	0.0088844	-0.0639363
NA20756	NA20756	-0.0428967	-0.00943875	-0.0143574	-0.0204603	-0.04731	0.0155189
NA20757	NA20757	-0.0404447	-0.0169925	0.0371858	-0.0187086	-0.0326447	-0.0525608
NA20758	NA20758	-9.38804e-05	-0.0602472	-0.0219126	-0.00881799	0.0582552	-0.00350599
NA20759	NA20759	-0.0480072	-0.0450436	-0.0482481	0.0158316	-0.0364448	-0.00835721
NA20760	NA20760	-0.0213678	-0.0207491	-0.0464898	0.0512507	0.0155595	-0.0739603
NA20761	NA20761	-0.0474718	-0.0376531	-0.00946105	0.020127	-0.0310992	-0.00661397
NA20762	NA20762	-0.074509	-0.0120138	-0.0121975	-0.00461249	-0.0358019	0.0296045
NA20763	NA20763	-0.0447034	-0.0669702	-0.0508194	0.0125377	0.0147584	-0.0203122
NA20764	NA20764	-0.0148931	-0.0266442	-0.0352079	-0.0842137	0.0673702	-0.0634271
NA20765	NA20765	-0.0460973	-0.0249556	-0.0385394	-0.0442927	0.0274599	0.00616096
NA20766	NA20766	-0.0593804	-0.0759351	0.0200384	-0.0204082	-0.0198482	-0.0252229
NA20767	NA20767	-0.0342842	-0.0314867	-0.070792	0.0147964	-0.00546067	0.0340224
NA20768	NA20768	-0.0376365	-0.0283354	-0.00025134	-0.0219051	0.0795183	-0.0369895
NA20769	NA20769	-0.0435898	0.0772556	0.00123237	-0.0546776	0.05879	0.0841266
NA20770	NA20770	-0.00508017	-0.0569576	-0.0055195	-0.0384066	0.0520092	-0.0389587
NA20771	NA20771	-0.0388683	-0.0702294	0.00347238	0.0376835	0.0127571	0.0241915
NA20772	NA20772	-0.0517941	-0.0343276	0.0383858	0.0696836	-0.020872	0.0280516
NA20773	NA20773	-0.0433103	-0.0221553	-0.0275896	0.0199268	-0.0427976	0.0158687
NA20774	NA20774	-0.0430779	-0.0247703	-0.00358497	-0.0627774	0.0038389	0.0235177
NA20775	NA20775	-0.0265656	-0.0267261	0.0345653	0.00139715	0.0235561	-0.0129376
NA20778	NA20778	-0.0460162	-0.00120883	0.00243854	-0.0291889	0.0181254	0.019668
NA20783	NA20783	-0.0486592	-0.0647671	-0.0295359	0.0406865	0.0759935	0.00811774
NA20785	NA20785	-0.044397	-0.0369074	-0.00728669	0.0304942	-0.0153103	-0.0317374
NA20786	NA20786	-0.0276558	-0.0522608	0.0231731	-0.00485372	0.00147085	0.0588704
NA20787	NA20787	-0.0205024	-0.0442289	-0.0815451	0.0786891	-0.0383467	-0.0502922
NA20790	NA20790	-0.0573903	-0.0397836	0.0245461	0.0202401	0.0338287	-0.0117548
NA20792	NA20792	-0.0403347	-0.00266369	0.0593186	-0.013886	-0.057752	-0.00195239
NA20795	NA20795	-0.041692	0.008576	-0.0306958	-0.106461	0.108229	-0.050332
NA20796	NA20796	-0.0253026	-0.0603123	-0.0540882	-0.00435431	0.0431797	0.0150425
NA20797	NA20797	-0.0346954	-0.0376631	0.00891837	-0.0212639	0.0997209	-0.0123862
NA20798	NA20798	-0.033125	-0.0931641	-0.00361555	-0.00936097	0.0273529	0.00137401
NA20799	NA20799	-0.044046	0.0221327	-0.0357475	0.00634753	0.0532648	0.0288425
NA20800	NA20800	-0.0518821	-0.0131949	0.0223933	-0.0620098	0.0241883	0.0570784
NA20801	NA20801	-0.0588033	-0.0174977	-0.0573142	-0.0320334	-0.0100598	0.0545482
NA20802	NA20802	-0.040701	-0.0483482	0.0126849	0.00698026	0.0217673	0.0416014
NA20803	NA20803	-0.0382747	-0.051764	0.0350687	-0.0491515	-0.0925584	-0.0258905
NA20804	NA20804	-0.0439034	-0.0308188	-0.0514855	-0.0830283	-0.0675178	0.0195011
NA20805	NA20805	-0.0200277	-0.0432341	-0.013779	-0.039398	0.0173574	0.0379261
NA20806	NA20806	-0.0145252	-0.0438907	-0.0717958	-0.0190165	0.00817066	0.0359417
NA20807	NA20807	-0.0448124	-0.0256286	0.0757336	0.0256107	-0.000229929	0.0352243
NA20808	NA20808	-0.0431647	0.0304976	-0.0773455	-0.0752735	-0.0210191	-0.0228764
NA20809	NA20809	-0.0406899	-0.0376068	-0.0035799	0.0353363	0.000810083	0.00234179
NA20810	NA20810	-0.0426371	-0.0377193	-0.00665369	-0.0137198	-0.0216773	0.050293
NA20811	NA20811	-0.0545303	-0.0280308	0.0677773	0.0253567	-0.0283943	0.0517573
NA20812	NA20812	-0.062501	-0.000713529	-0.0131736	-0.00280501	-0.0313391	-0.0620962
NA20813	NA20813	-0.0349602	-0.0152391	0.0345295	0.0264462	-0.0047356	0.020269
NA20814	NA20814	-0.0398341	-0.0551116	0.0381696	-0.0322833	-0.0219427	-0.0155162
NA20815	NA20815	-0.0515242	-0.0407178	0.0204535	-0.0570974	0.0829177	-0.057135
NA20818	NA20818	-0.00871703	-0.00862224	0.0534075	0.0158481	-0.0715468	-0.0103048
NA20819	NA20819	-0.0366286	0.0417189	-0.0185474	-0.00402869	0.00607376	-0.0392538
NA20821	NA20821	-0.0349585	-0.0567676	-0.0217992	-0.041678	-0.0864855	0.00961432
NA20822	NA20822	-0.0312424	-0.0348133	-0.0458316	-0.015682	0.0912978	0.0013198
NA20826	NA20826	-0.0292655	-0.0232612	0.0135019	0.0143903	0.0195224	0.0404317
NA20827	NA20827	-0.048451	-0.00201491	-0.0219134	0.0182423	0.042456	-0.00531072
NA20828	NA20828	-0.0256162	-0.0308711	0.00780769	0.0217636	-0.000120545	0.0119073
NA20832	NA20832	-0.0442654	-0.0263519	-0.0144352	0.00844091	-0.0799962	0.0552337
